variable,year,region,value,clim,anomaly
tmax_mean,1999,Caribe,29.600647698853784,31.17120337851442,-1.570555679660636
tmax_mean,1999,Andina,23.00314833828556,24.1532379563675,-1.1500896180819424
tmax_mean,1999,Pacifica,24.209597359412083,24.951161462046255,-0.7415641026341717
tmax_mean,1999,Orinoquia,29.76548418192498,30.7059995743421,-0.9405153924171223
tmax_mean,1999,Amazonia,29.21435727687898,29.235361397029138,-0.02100412015015607
tmax_mean,1999,Colombia,27.619365608111526,28.324168714931773,-0.7048031068202469
tmax_mean,2000,Caribe,30.066074741317223,31.17120337851442,-1.105128637197197
tmax_mean,2000,Andina,23.09176608269696,24.1532379563675,-1.0614718736705413
tmax_mean,2000,Pacifica,24.11404834515884,24.951161462046255,-0.8371131168874157
tmax_mean,2000,Orinoquia,31.213357760069865,30.7059995743421,0.5073581857277638
tmax_mean,2000,Amazonia,28.89852964712852,29.235361397029138,-0.33683174990061815
tmax_mean,2000,Colombia,27.896106687839836,28.324168714931773,-0.4280620270919364
tmax_mean,2001,Caribe,29.92519242107633,31.17120337851442,-1.2460109574380915
tmax_mean,2001,Andina,23.750168495749033,24.1532379563675,-0.40306946061846816
tmax_mean,2001,Pacifica,24.603470273819493,24.951161462046255,-0.3476911882267615
tmax_mean,2001,Orinoquia,30.747019319820264,30.7059995743421,0.04101974547816312
tmax_mean,2001,Amazonia,29.012763927353326,29.235361397029138,-0.2225974696758115
tmax_mean,2001,Colombia,27.99709712934288,28.324168714931773,-0.32707158558889304
tmax_mean,2002,Caribe,31.982982003286626,31.17120337851442,0.8117786247722059
tmax_mean,2002,Andina,24.813699725893287,24.1532379563675,0.6604617695257851
tmax_mean,2002,Pacifica,25.381671708027067,24.951161462046255,0.43051024598081256
tmax_mean,2002,Orinoquia,30.41207783769318,30.7059995743421,-0.2939217366489224
tmax_mean,2002,Amazonia,29.051626160588093,29.235361397029138,-0.18373523644104495
tmax_mean,2002,Colombia,28.46013809972402,28.324168714931773,0.13596938479224718
tmax_mean,2003,Caribe,32.3533425476282,31.17120337851442,1.182139169113782
tmax_mean,2003,Andina,24.959599807006054,24.1532379563675,0.8063618506385524
tmax_mean,2003,Pacifica,25.48028094740681,24.951161462046255,0.5291194853605568
tmax_mean,2003,Orinoquia,31.128183757017993,30.7059995743421,0.42218418267589186
tmax_mean,2003,Amazonia,29.114238239698167,29.235361397029138,-0.12112315733097034
tmax_mean,2003,Colombia,28.726320777798144,28.324168714931773,0.40215206286637084
tmax_mean,2004,Caribe,32.80034911227105,31.17120337851442,1.62914573375663
tmax_mean,2004,Andina,25.193696534771092,24.1532379563675,1.040458578403591
tmax_mean,2004,Pacifica,25.39341067948115,24.951161462046255,0.4422492174348953
tmax_mean,2004,Orinoquia,30.5857966105288,30.7059995743421,-0.12020296381330198
tmax_mean,2004,Amazonia,29.105339080176908,29.235361397029138,-0.1300223168522301
tmax_mean,2004,Colombia,28.686564491743628,28.324168714931773,0.3623957768118551
tmax_mean,2005,Caribe,31.805291013890702,31.17120337851442,0.6340876353762823
tmax_mean,2005,Andina,25.022452409552308,24.1532379563675,0.8692144531848065
tmax_mean,2005,Pacifica,24.607808754729927,24.951161462046255,-0.3433527073163276
tmax_mean,2005,Orinoquia,31.911742677663376,30.7059995743421,1.205743103321275
tmax_mean,2005,Amazonia,29.843115541347494,29.235361397029138,0.6077541443183563
tmax_mean,2005,Colombia,29.018144455668043,28.324168714931773,0.6939757407362706
tmax_mean,2006,Caribe,30.45185766535654,31.17120337851442,-0.7193457131578818
tmax_mean,2006,Andina,23.230982245934946,24.1532379563675,-0.9222557104325553
tmax_mean,2006,Pacifica,24.386897350645274,24.951161462046255,-0.5642641114009805
tmax_mean,2006,Orinoquia,29.934938200507318,30.7059995743421,-0.7710613738347831
tmax_mean,2006,Amazonia,29.078397811387806,29.235361397029138,-0.15696358564133206
tmax_mean,2006,Colombia,27.7696839805882,28.324168714931773,-0.5544847343435713
tmax_mean,2007,Caribe,31.31845221800546,31.17120337851442,0.1472488394910414
tmax_mean,2007,Andina,24.26658642119298,24.1532379563675,0.11334846482547789
tmax_mean,2007,Pacifica,24.45164415931434,24.951161462046255,-0.4995173027319133
tmax_mean,2007,Orinoquia,31.314179589814863,30.7059995743421,0.6081800154727617
tmax_mean,2007,Amazonia,29.290787317509807,29.235361397029138,0.05542592048066908
tmax_mean,2007,Colombia,28.466351756178476,28.324168714931773,0.1421830412467031
tmax_mean,2008,Caribe,30.352172124078656,31.17120337851442,-0.8190312544357639
tmax_mean,2008,Andina,23.23082939277718,24.1532379563675,-0.9224085635903201
tmax_mean,2008,Pacifica,24.354428907859027,24.951161462046255,-0.596732554187227
tmax_mean,2008,Orinoquia,31.323844268478528,30.7059995743421,0.6178446941364264
tmax_mean,2008,Amazonia,29.301424851865214,29.235361397029138,0.06606345483607612
tmax_mean,2008,Colombia,28.149855319045738,28.324168714931773,-0.17431339588603478
tmax_mean,2009,Caribe,29.906085631664084,31.17120337851442,-1.2651177468503363
tmax_mean,2009,Andina,23.10329710421032,24.1532379563675,-1.0499408521571816
tmax_mean,2009,Pacifica,24.344917061722363,24.951161462046255,-0.6062444003238916
tmax_mean,2009,Orinoquia,30.037237122579665,30.7059995743421,-0.6687624517624364
tmax_mean,2009,Amazonia,28.86500220557408,29.235361397029138,-0.3703591914550586
tmax_mean,2009,Colombia,27.626156318340268,28.324168714931773,-0.6980123965915048
tmax_mean,2010,Caribe,30.603758344336434,31.17120337851442,-0.567445034177986
tmax_mean,2010,Andina,25.350643940230828,24.1532379563675,1.1974059838633266
tmax_mean,2010,Pacifica,25.46271815028763,24.951161462046255,0.5115566882413738
tmax_mean,2010,Orinoquia,31.072227792390056,30.7059995743421,0.36622821804795436
tmax_mean,2010,Amazonia,30.412801454800363,29.235361397029138,1.177440057771225
tmax_mean,2010,Colombia,29.051454481827818,28.324168714931773,0.7272857668960455
tmax_mean,2011,Caribe,28.99667067136669,31.17120337851442,-2.17453270714773
tmax_mean,2011,Andina,22.53515659196166,24.1532379563675,-1.6180813644058425
tmax_mean,2011,Pacifica,24.23624686009025,24.951161462046255,-0.7149146019560035
